City,CityASCII,Latitude,Longitude,Country,ISO2,ISO3,AdminName,Capital,Population
Tipasa,Tipasa,36.5942,2.443,Algeria,DZ,DZA,Tipaza,admin,25225
Tirmitine,Tirmitine,36.6618,3.9848,Algeria,DZ,DZA,Tizi Ouzou,,19027
Tissemsilt,Tissemsilt,35.6072,1.8106,Algeria,DZ,DZA,Tissemsilt,admin,75197
Tizi Gheniff,Tizi Gheniff,36.5891,3.7678,Algeria,DZ,DZA,Boumerdes,,29409
Tizi Ouzou,Tizi Ouzou,36.7169,4.0497,Algeria,DZ,DZA,Tizi Ouzou,admin,135088
Tizi Rached,Tizi Rached,36.6718,4.1918,Algeria,DZ,DZA,Tizi Ouzou,,17161
Tizi-n-Bechar,Tizi-n-Bechar,36.4311,5.36,Algeria,DZ,DZA,Bejaïa,,21086
Tizi-n-Tleta,Tizi-n-Tleta,36.5457,4.0571,Algeria,DZ,DZA,Tizi Ouzou,,15479
Tlemcen,Tlemcen,34.8828,-1.3167,Algeria,DZ,DZA,Tlemcen,admin,173531
Toudja,Toudja,36.7586,4.8933,Algeria,DZ,DZA,Bejaïa,,9827
Touggourt,Touggourt,33.1,6.0667,Algeria,DZ,DZA,Ouargla,admin,39409
Yakouren,Yakouren,36.7348,4.4386,Algeria,DZ,DZA,Tizi Ouzou,,12203
Andorra la Vella,Andorra la Vella,42.5,1.5,Andorra,AD,AND,Andorra la Vella,primary,22615
Canillo,Canillo,42.5664,1.6009,Andorra,AD,AND,Canillo,admin,4103
Encamp,Encamp,42.5361,1.5828,Andorra,AD,AND,Encamp,admin,12338
Escaldes-Engordany,Escaldes-Engordany,42.5089,1.5408,Andorra,AD,AND,Escaldes-Engordany,admin,14521
La Massana,La Massana,42.5442,1.5164,Andorra,AD,AND,La Massana,admin,10076
Ordino,Ordino,42.555,1.5331,Andorra,AD,AND,Ordino,admin,4545
Sant Julià de Lòria,Sant Julia de Loria,42.47,1.49,Andorra,AD,AND,Sant Julià de Lòria,admin,9156
Alto-Cuilo,Alto-Cuilo,-10.05,19.5167,Angola,AO,AGO,Lunda Sul,,21004
Ambriz,Ambriz,-7.85,13.1167,Angola,AO,AGO,Bengo,,17000
Baía Farta,Baia Farta,-12.6128,13.1987,Angola,AO,AGO,Benguela,,107841
Bala Cangamba,Bala Cangamba,-13.6996,19.86,Angola,AO,AGO,Moxico,,1307
Balombo,Balombo,-12.35,14.7667,Angola,AO,AGO,Benguela,,108965
Barra do Dande,Barra do Dande,-8.4728,13.3731,Angola,AO,AGO,Bengo,,222528
Belas,Belas,-9.0689,13.1608,Angola,AO,AGO,Luanda,,500000
Benguela,Benguela,-12.55,13.4167,Angola,AO,AGO,Benguela,admin,561775
Bocoio,Bocoio,-12.4667,14.1333,Angola,AO,AGO,Benguela,,164685
Bolongongo,Bolongongo,-8.4667,15.25,Angola,AO,AGO,Kwanza Norte,,13019
Cabinda,Cabinda,-5.5667,12.2,Angola,AO,AGO,Cabinda,admin,550000
