PortName,AlternateName,Country,WaterBody,HarborSize,HarborType,HarborUse,Railway,Latitude,Longitude
Pulau Pinang, ,Malaysia,Strait of Malacca; Indian Ocean,Medium,Coastal (Natural),Unknown,Medium,5.416667,100.35
Malong Marine Terminal, ,Malaysia,South China Sea; North Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,4.633333,104.816667
Lumut, ,Malaysia,Strait of Malacca; Indian Ocean,Very Small,River (Natural),Unknown,Unknown,4.233333,100.633333
Port Klang,Port Kelang; Port Swettenham,Malaysia,Strait of Malacca; Indian Ocean,Large,Coastal (Natural),Unknown,Unknown,3,101.4
Port Dickson, ,Malaysia,Strait of Malacca; Indian Ocean,Medium,Open Roadstead,Unknown,Small,2.533333,101.783333
Pelabuhan Sungai Udang, ,Malaysia,Strait of Malacca; Indian Ocean,Very Small,Open Roadstead,Unknown,Unknown,2.25,102.133333
Johor,Pasir Gudang,Malaysia,Strait of Malacca; Indian Ocean,Large,River (Natural),Unknown,Unknown,1.433333,103.9
Kuching, ,Malaysia,South China Sea; North Pacific Ocean,Small,River (Natural),Unknown,Small,1.566667,110.35
Sibu, ,Malaysia,South China Sea; North Pacific Ocean,Very Small,River (Natural),Unknown,Medium,2.283333,111.816667
Sarikei, ,Malaysia,South China Sea; North Pacific Ocean,Very Small,River (Natural),Unknown,Unknown,2.133333,111.533333
Tg. Mani, ,Malaysia,South China Sea; North Pacific Ocean,Very Small,River (Natural),Unknown,Unknown,2.15,111.35
Bintulu Port, ,Malaysia,South China Sea; North Pacific Ocean,Small,Coastal (Breakwater),Unknown,Unknown,3.266667,113.066667
Tawa, ,Malaysia,Celebes Sea; North Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,4.25,117.883333
Tanjung Pelepas, ,Malaysia,Strait of Malacca; Indian Ocean,Medium,River (Basins),Unknown,Small,1.35,103.55
Miri, ,Malaysia,South China Sea; North Pacific Ocean,Small,River (Natural),Unknown,Medium,4.383333,113.966667
Lutong, ,Malaysia,South China Sea; North Pacific Ocean,Small,Open Roadstead,Unknown,Unknown,4.466667,114
Kota Kinabalu,Jesselton,Malaysia,South China Sea; North Pacific Ocean,Medium,Coastal (Natural),Unknown,Small,5.983333,116.066667
Sapangar Bay, ,Malaysia,South China Sea; North Pacific Ocean,Small,Coastal (Natural),Unknown,Unknown,6.083333,116.116667
Kudat, ,Malaysia,South China Sea; North Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,6.883333,116.85
Pelabuhan Sandakan,Elopura,Malaysia,Sulu Sea; North Pacific Ocean,Small,Coastal (Natural),Unknown,Medium,5.833333,118.116667
Lahad Datu, ,Malaysia,Celebes Sea; North Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,5.016667,118.316667
Kuantan New Port, ,Malaysia,South China Sea; North Pacific Ocean,Small,Coastal (Breakwater),Unknown,Unknown,3.966667,103.433333
Kemaman Harbor, ,Malaysia,South China Sea; North Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,4.25,103.466667
Kirteh Oil Terminal, ,Malaysia,South China Sea; North Pacific Ocean,Small,Open Roadstead,Unknown,Unknown,4.566667,103.466667
Kuala Trengganu,Trengganu,Malaysia,South China Sea; North Pacific Ocean,Very Small,River (Basins),Unknown,Unknown,5.35,103.133333
Male, ,Maldives,Laccadive Sea; Indian Ocean,Very Small,Coastal (Natural),Unknown,Unknown,4.166667,73.5
Valletta Harbors, ,Malta,Mediterranean Sea; North Atlantic Ocean,Medium,Coastal (Natural),Unknown,Unknown,35.9,14.516667
Marsaxlokk,Marsa Scirocco,Malta,Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,35.816667,14.55
Enitwetak Island,Enewotok,Marshall Islands,North Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,11.333333,162.333333
Kwajalein, ,Marshall Islands,North Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,8.716667,167.733333
Majuro Atoll, ,Marshall Islands,North Pacific Ocean,Very Small,Open Roadstead,Unknown,Small,7.083333,171.383333
Fort De France, ,Martinique,Caribbean Sea; North Atlantic Ocean,Medium,Open Roadstead,Unknown,Unknown,14.6,-61.066667
Nouadhibou,Etienne; Port Etienne,Mauritania,North Atlantic Ocean,Medium,Coastal (Natural),Unknown,Large,20.916667,-17.05
Nouakchott, ,Mauritania,North Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,18.033333,-16.033333
Port Louis, ,Mauritius,Indian Ocean,Small,Coastal (Breakwater),Unknown,Unknown,-20.15,57.5
Port Mathurin, ,Mauritius,Indian Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-19.683333,63.416667
Altamira, ,Mexico,Gulf of Mexico; North Atlantic Ocean,Very Small,River (Basins),Unknown,Unknown,22.483333,-97.85
Tampico, ,Mexico,Gulf of Mexico; North Atlantic Ocean,Medium,River (Natural),Unknown,Small,22.216667,-97.866667
Tuxpan, ,Mexico,Gulf of Mexico; North Atlantic Ocean,Medium,River (Natural),Unknown,Unknown,20.95,-97.4
Veracruz, ,Mexico,Gulf of Mexico; North Atlantic Ocean,Medium,Coastal (Breakwater),Unknown,Medium,19.2,-96.133333
Cayo Arcas Terminal, ,Mexico,Gulf of Mexico; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,20.166667,-91.983333
Coatzacoalcos,Puerto Mexico,Mexico,Gulf of Mexico; North Atlantic Ocean,Small,River (Natural),Unknown,Medium,18.15,-94.416667
Nanchital, ,Mexico,Gulf of Mexico; North Atlantic Ocean,Very Small,River (Natural),Unknown,Small,18.066667,-94.416667
Dos Bocas Terminal, ,Mexico,Gulf of Mexico; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,18.433333,-93.216667
Frontera,Alvaro Obregon,Mexico,Gulf of Mexico; North Atlantic Ocean,Very Small,River (Natural),Unknown,Small,18.533333,-92.65
Ciudad Del Carmen,Laguna De Terminos,Mexico,Gulf of Mexico; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,18.633333,-91.866667
Progreso,Terminal Remota,Mexico,Gulf of Mexico; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Small,21.283333,-89.666667
San Miguel De Cozumel,Cozumel,Mexico,Caribbean Sea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,20.5,-86.966667
Puerto Madero, ,Mexico,North Pacific Ocean,Very Small,River (Basins),Unknown,Small,14.7,-92.45
Salina Cruz, ,Mexico,North Pacific Ocean,Small,Coastal (Breakwater),Unknown,Medium,16.166667,-95.2
Acapulco, ,Mexico,North Pacific Ocean,Medium,Coastal (Natural),Unknown,Small,16.85,-99.933333
Lazaro Cardenas, ,Mexico,North Pacific Ocean,Small,River (Basins),Unknown,Medium,17.933333,-102.166667
Manzanillo, ,Mexico,North Pacific Ocean,Medium,Coastal (Breakwater),Unknown,Medium,19.05,-104.316667
Topolobampo, ,Mexico,Gulf of California; North Pacific Ocean,Small,Coastal (Natural),Unknown,Small,25.6,-109.066667
Guaymas, ,Mexico,Gulf of California; North Pacific Ocean,Small,Coastal (Breakwater),Unknown,Small,27.916667,-110.916667
Santa Rosalia, ,Mexico,Gulf of California; North Pacific Ocean,Small,Coastal (Breakwater),Unknown,Medium,27.333333,-112.283333
Isla San Marcos,San Marcos,Mexico,Gulf of California; North Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,27.183333,-112.1
Pichilingue, ,Mexico,Gulf of California; North Pacific Ocean,Small,Coastal (Breakwater),Unknown,Unknown,24.266667,-110.333333
La Paz, ,Mexico,Gulf of California; North Pacific Ocean,Small,Coastal (Natural),Unknown,Unknown,24.166667,-110.316667
Puerto Morro Redondo, ,Mexico,North Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,28.05,-115.183333
Rosarito, ,Mexico,North Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,32.366667,-117.1
Puerto Vallarta,Penas,Mexico,North Pacific Ocean,Small,River (Basins),Unknown,Unknown,20.616667,-105.266667
Mazatlan, ,Mexico,North Pacific Ocean,Medium,River (Natural),Unknown,Medium,23.2,-106.416667
Midway Island, ,Midway Islands,North Pacific Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,28.183333,-177.366667
Monaco, ,Monaco,Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,43.733333,7.416667
Risan, ,Montenegro,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,42.516667,18.7
Kotor, ,Montenegro,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,42.416667,18.766667
Tivat, ,Montenegro,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,42.433333,18.7
Bar, ,Montenegro,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Unknown,42.083333,19.083333
Port D Al Hoceima, ,Morocco,Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,35.25,-3.916667
Tanger,Tangier,Morocco,Strait of Gibraltar; North Atlantic Ocean,Medium,Coastal (Breakwater),Unknown,Medium,35.783333,-5.816667
Port Nador, ,Morocco,Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,35.283333,-2.933333
Kenitra,Port Lyautey,Morocco,North Atlantic Ocean,Small,River (Natural),Unknown,Medium,34.3,-6.6
Mohammedia, ,Morocco,North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Small,33.716667,-7.4
Casablanca,Dar El Beida,Morocco,North Atlantic Ocean,Large,Coastal (Breakwater),Unknown,Large,33.6,-7.616667
El Jadida,Mazagan,Morocco,North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,33.25,-8.5
El Jorf Lasfar, ,Morocco,North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Unknown,33.116667,-8.616667
Safi,Asafi,Morocco,North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Large,32.3,-9.25
Essaouira,Mogador; Suira,Morocco,North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,31.5,-9.783333
Inhambane,Innamban,Mozambique,Mozambique Channel; Indian Ocean,Small,River (Natural),Unknown,Unknown,-23.916667,35.4
Beira, ,Mozambique,Mozambique Channel; Indian Ocean,Medium,Coastal (Natural),Unknown,Large,-19.833333,34.833333
Quelimane,Kiliman,Mozambique,Mozambique Channel; Indian Ocean,Very Small,River (Natural),Unknown,Unknown,-17.883333,36.883333
Porto Belo, ,Mozambique,Mozambique Channel; Indian Ocean,Small,Open Roadstead,Unknown,Unknown,-17.7,37.183333
Pebane, ,Mozambique,Mozambique Channel; Indian Ocean,Small,River (Natural),Unknown,Unknown,-17.266667,38.15
Mocambique,Mozambique,Mozambique,Mozambique Channel; Indian Ocean,Small,Coastal (Natural),Unknown,Unknown,-15.033333,40.733333
Nacala,Nakala,Mozambique,Mozambique Channel; Indian Ocean,Very Small,Coastal (Natural),Unknown,Small,-14.533333,40.666667
Pemba,Port Amelia,Mozambique,Mozambique Channel; Indian Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,-12.966667,40.5
Ibo, ,Mozambique,Mozambique Channel; Indian Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-12.333333,40.616667
Maputo,Lourenco Marques,Mozambique,Indian Ocean,Medium,Canal or Lake,Cargo,Small,-25.96277778,32.54472222
Luderitz Bay,Angra Pequena,Namibia,South Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Small,-26.65,15.15
Walvis Bay,Walvisbaai,Namibia,South Atlantic Ocean,Small,Coastal (Natural),Unknown,Medium,-22.95,14.5
Eemshaven, ,Netherlands,North Sea; North Atlantic Ocean,Small,River (Basins),Unknown,Small,53.45,6.833333
Delfzijl, ,Netherlands,North Sea; North Atlantic Ocean,Small,Coastal (Tide Gates),Unknown,Small,53.333333,6.933333
Den Helder,Willemsoord,Netherlands,North Sea; North Atlantic Ocean,Small,River (Basins),Unknown,Small,52.966667,4.783333
Ijmuiden,Ymuiden,Netherlands,North Sea; North Atlantic Ocean,Small,Coastal (Tide Gates),Unknown,Small,52.466667,4.583333
Zaandam, ,Netherlands,North Sea; North Atlantic Ocean,Small,Canal or Lake,Unknown,Unknown,52.433333,4.833333
Amsterdam, ,Netherlands,North Sea; North Atlantic Ocean,Large,Canal or Lake,Unknown,Small,52.366667,4.9
Scheveningen, ,Netherlands,North Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,52.1,4.266667
Hoek Van Holland,Berg Haven; Hook Of Holland,Netherlands,North Sea; North Atlantic Ocean,Very Small,River (Basins),Unknown,Small,51.95,4.133333
Europoort, ,Netherlands,North Sea; North Atlantic Ocean,Medium,Canal or Lake,Unknown,Medium,51.95,4.116667
Maassluis,Massluis,Netherlands,North Sea; North Atlantic Ocean,Very Small,Canal or Lake,Unknown,Medium,51.916667,4.25
Vlaardingen, ,Netherlands,North Sea; North Atlantic Ocean,Very Small,River (Basins),Unknown,Small,51.9,4.35
Schiedam, ,Netherlands,North Sea; North Atlantic Ocean,Very Small,River (Basins),Unknown,Small,51.9,4.4
Rotterdam, ,Netherlands,North Sea; North Atlantic Ocean,Large,River (Basins),Unknown,Small,51.9,4.483333
Dordrecht, ,Netherlands,North Sea; North Atlantic Ocean,Medium,River (Natural),Unknown,Small,51.816667,4.65
Vlissingen,Flushing,Netherlands,North Sea; North Atlantic Ocean,Medium,River (Natural),Unknown,Small,51.45,3.6
Hansweert, ,Netherlands,North Sea; North Atlantic Ocean,Very Small,Coastal (Tide Gates),Unknown,Small,51.45,4
Terneuzen,Neuzen,Netherlands,North Sea; North Atlantic Ocean,Medium,River (Tide Gates),Unknown,Medium,51.35,3.816667
Baie De Kouaoua, ,New Caledonia,Coral Sea; South Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,-21.383333,165.816667
Noumea, ,New Caledonia,Coral Sea; South Pacific Ocean,Small,Coastal (Natural),Unknown,Unknown,-22.283333,166.433333
Baie Ugue, ,New Caledonia,Coral Sea; South Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,-21.15,165.55
Whangaroa, ,New Zealand,South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-35.05,173.766667
Opua, ,New Zealand,South Pacific Ocean,Very Small,River (Natural),Unknown,Small,-35.316667,174.116667
Whangarei, ,New Zealand,South Pacific Ocean,Small,River (Natural),Unknown,Large,-35.8,174.433333
Auckland, ,New Zealand,South Pacific Ocean,Large,River (Natural),Unknown,Medium,-36.85,174.766667
Tauranga, ,New Zealand,South Pacific Ocean,Small,Coastal (Natural),Unknown,Medium,-37.633333,176.166667
Gisborne, ,New Zealand,South Pacific Ocean,Small,River (Basins),Unknown,Medium,-38.666667,178.033333
Napier, ,New Zealand,South Pacific Ocean,Small,Coastal (Breakwater),Unknown,Medium,-39.483333,176.916667
Wellington, ,New Zealand,Cook Strait; South Pacific Ocean,Large,Coastal (Natural),Unknown,Small,-41.283333,174.783333
Wanganui,Castlecliff,New Zealand,Tasman Sea; South Pacific Ocean,Very Small,River (Natural),Unknown,Unknown,-39.95,175.033333
New Plymouth, ,New Zealand,Tasman Sea; South Pacific Ocean,Small,Coastal (Breakwater),Unknown,Small,-39.066667,174.033333
Collingwood, ,New Zealand,Tasman Sea; South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Small,-40.683333,172.666667
Tarakohe, ,New Zealand,Tasman Sea; South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-40.85,172.9
Nelson, ,New Zealand,Tasman Sea; South Pacific Ocean,Small,Coastal (Breakwater),Unknown,Medium,-41.266667,173.266667
Picton, ,New Zealand,Cook Strait; South Pacific Ocean,Small,River (Basins),Unknown,Small,-41.283333,174.016667
Port Lyttelton,Lyttleton,New Zealand,South Pacific Ocean,Very Small,Coastal (Breakwater),Unknown,Large,-43.6,172.716667
Timaru, ,New Zealand,South Pacific Ocean,Small,Coastal (Breakwater),Unknown,Small,-44.4,171.25
Otago Harbor,Cavensbourne; Oavensbourne,New Zealand,South Pacific Ocean,Small,River (Basins),Unknown,Small,-45.816667,170.633333
Bluff Harbor,Campbelltown,New Zealand,South Pacific Ocean,Small,Coastal (Breakwater),Unknown,Large,-46.6,168.333333
Greymouth, ,New Zealand,Tasman Sea; South Pacific Ocean,Very Small,River (Natural),Unknown,Small,-42.433333,171.216667
Westport, ,New Zealand,Tasman Sea; South Pacific Ocean,Very Small,River (Natural),Unknown,Unknown,-41.75,171.6
El Bluff, ,Nicaragua,Caribbean Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,12,-83.7
Bluefields, ,Nicaragua,Caribbean Sea; North Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,12.016667,-83.75
Puerto Sandino, ,Nicaragua,North Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,12.183333,-86.766667
Corinto, ,Nicaragua,North Pacific Ocean,Small,River (Natural),Unknown,Medium,12.483333,-87.166667
Lagos, ,Nigeria,Bight of Benin; Gulf of Guinea; North Atlantic Ocean,Large,River (Natural),Unknown,Medium,6.4,3.4
Tin Can Island, ,Nigeria,Bight of Benin; Gulf of Guinea; North Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,6.35,3.35
Escravos Oil Terminal, ,Nigeria,Bight of Benin; Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,5.5,5
Koko, ,Nigeria,Bight of Benin; Gulf of Guinea; North Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,6,5.466667
Sapele, ,Nigeria,Bight of Benin; Gulf of Guinea; North Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,5.9,5.683333
Forcados,Port Forcados,Nigeria,Bight of Benin; Gulf of Guinea; North Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,5.366667,5.433333
Forcados Oil Terminal, ,Nigeria,Bight of Benin; Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,5.166667,5.183333
Burutu, ,Nigeria,Bight of Benin; Gulf of Guinea; North Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,5.35,5.5
Warri, ,Nigeria,Bight of Benin; Gulf of Guinea; North Atlantic Ocean,Very Small,River (Natural),Unknown,Small,5.516667,5.733333
Ukpokiti Marine Terminal, ,Nigeria,Bight of Benin; Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,5.716667,4.833333
Yoho Terminal, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,4.016667,7.466667
Sea Eagle Terminal, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,4.8,5.316667
Brass Oil Terminal, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,4.066667,6.283333
Qua Iboe Oil Terminal, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,4.233333,8.033333
Pennington Oil Terminal, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Large,Open Roadstead,Unknown,Unknown,4.25,5.616667
Bonny, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Medium,River (Natural),Unknown,Unknown,4.45,7.166667
Bonny Offshore Terminal, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,4.183333,7.233333
Okrika, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,4.716667,7.083333
Onne, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,4.683333,7.15
Port Harcourt,Harcourt,Nigeria,Gulf of Guinea; North Atlantic Ocean,Very Small,River (Natural),Unknown,Medium,4.766667,7
Antan Oil Terminal, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,4.216667,8.333333
Calabar, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,4.966667,8.316667
Odudu Terminal, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,4,7.766667
Agbami Oil Terminal, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,3.466667,5.566667
Okono Terminal, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,3.983333,7.3
Egina Oil Terminal, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,3.066667,6.7
Okwori Terminal, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,3.85,6.983333
Akpo Oil Terminal, ,Nigeria,Gulf of Guinea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,3.133333,6.816667
Alofi, ,Niue,South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-19.033333,-169.933333
Kingston, ,Norfolk Island,South Pacific Ocean,Very Small,Open Roadstead,Unknown,Unknown,-29.066667,167.95
Nampo,Chinnampo,North Korea,Korea Bay; Yellow Sea; North Pacific Ocean,Small,River (Natural),Unknown,Medium,38.716667,125.4
Kyomip'o,Songnim,North Korea,Korea Bay; Yellow Sea; North Pacific Ocean,Very Small,River (Natural),Unknown,Unknown,38.733333,125.616667
Haeju Hang,Haeju,North Korea,Yellow Sea; North Pacific Ocean,Small,Coastal (Breakwater),Unknown,Small,38,125.7
Wonsan, ,North Korea,Sea of Japan; North Pacific Ocean,Small,Coastal (Natural),Unknown,Medium,39.166667,127.45
Ch'aho,Shako,North Korea,Sea of Japan; North Pacific Ocean,Very Small,Coastal (Breakwater),Unknown,Small,40.2,128.65
Kimch'aek,Songjin,North Korea,Sea of Japan; North Pacific Ocean,Very Small,Open Roadstead,Unknown,Small,40.666667,129.2
Ch'ongjin, ,North Korea,Sea of Japan; North Pacific Ocean,Small,Coastal (Natural),Unknown,Medium,41.766667,129.816667
Najin,Rashin,North Korea,Sea of Japan; North Pacific Ocean,Small,River (Basins),Unknown,Medium,42.233333,130.3
Senbong,Uki,North Korea,Sea of Japan; North Pacific Ocean,Small,Coastal (Natural),Unknown,Small,42.333333,130.4
Tinian, ,Northern Mariana Islands,North Pacific Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,14.966667,145.616667
Rota, ,Northern Mariana Islands,North Pacific Ocean,Very Small,Open Roadstead,Unknown,Small,14.133333,145.15
Kirkenes, ,Norway,Barents Sea; Arctic Ocean,Small,Coastal (Natural),Unknown,Unknown,69.733333,30.05
Batsfjorden, ,Norway,Barents Sea; Arctic Ocean,Small,Coastal (Natural),Unknown,Unknown,70.633333,29.733333
Vardo, ,Norway,Barents Sea; Arctic Ocean,Small,Coastal (Natural),Unknown,Unknown,70.366667,31.116667
Berlevag, ,Norway,Barents Sea; Arctic Ocean,Very Small,Open Roadstead,Unknown,Unknown,70.866667,29.1
Kjollefjorden, ,Norway,Barents Sea; Arctic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,70.95,27.333333
Honningsvag, ,Norway,Barents Sea; Arctic Ocean,Small,Coastal (Natural),Unknown,Unknown,70.983333,26
Kvalsund, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,70.5,23.983333
Hammerfest, ,Norway,Norwegian Sea; North Atlantic Ocean,Medium,Coastal (Natural),Unknown,Unknown,70.666667,23.666667
Bredvik, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Small,70.583333,22.133333
Oksfjord, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,70.233333,22.35
Alta, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,69.966667,23.25
Talvik, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,70.05,22.966667
Tromso, ,Norway,Norwegian Sea; North Atlantic Ocean,Medium,Open Roadstead,Unknown,Medium,69.65,18.966667
Gibostad, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Small,69.35,18.083333
Finnsnes, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Small,69.233333,17.966667
Medby, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,68.916667,17.733333
Sjovegan, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,68.883333,17.833333
Harstad, ,Norway,Norwegian Sea; North Atlantic Ocean,Medium,Coastal (Natural),Unknown,Unknown,68.8,16.55
Stokkmarknes, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,68.566667,14.916667
Reine, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Small,67.933333,13.1
Stamsund, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Small,68.116667,13.85
Svolvaer, ,Norway,Norwegian Sea; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,68.233333,14.583333
Skrova Havn, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,68.166667,14.666667
Lodingen, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,68.416667,16
Ulvik, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,68.566667,16.266667
Lilandsgrunnen, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,68.483333,16.883333
Narvik, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Medium,68.433333,17.416667
Litle Ballangen, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,68.333333,16.85
Drag, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,68.05,16.083333
Korsnes, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,68.25,16.066667
Tranoy, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,68.183333,15.666667
Bodo, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Small,67.283333,14.383333
Fauske, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,67.25,15.366667
Rognan, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,67.1,15.416667
Sandnessjoen, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,66.016667,12.633333
Mo i Rana, ,Norway,Norwegian Sea; North Atlantic Ocean,Small,Open Roadstead,Unknown,Medium,66.316667,14.133333
Mosjoen, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,River (Natural),Unknown,Small,65.833333,13.2
Bronnoysund, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,65.466667,12.2
Rorvik, ,Norway,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,64.866667,11.25
