PortName,AlternateName,Country,WaterBody,HarborSize,HarborType,HarborUse,Railway,Latitude,Longitude
Faborg,Faaborg,Denmark,Baltic Sea; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Small,55.1,10.25
Sonderborg, ,Denmark,Baltic Sea; North Atlantic Ocean,Small,River (Natural),Unknown,Small,54.916667,9.783333
Augustenborg, ,Denmark,Baltic Sea; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,54.95,9.866667
Abenra,Apenrade,Denmark,Baltic Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Small,55.05,9.433333
Ensted, ,Denmark,Baltic Sea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,55.016667,9.433333
Haderslev, ,Denmark,Baltic Sea; North Atlantic Ocean,Small,River (Basins),Unknown,Small,55.25,9.5
Kolding, ,Denmark,Kattegat; North Atlantic Ocean,Small,River (Basins),Unknown,Medium,55.483333,9.5
Fredericia, ,Denmark,Kattegat; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Large,55.566667,9.766667
Vejle, ,Denmark,Kattegat; North Atlantic Ocean,Small,Coastal (Natural),Unknown,Small,55.716667,9.55
Horsens, ,Denmark,Kattegat; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Small,55.866667,9.85
Arhus, ,Denmark,Kattegat; North Atlantic Ocean,Medium,Coastal (Breakwater),Unknown,Large,56.15,10.216667
Studstrup, ,Denmark,Kattegat; North Atlantic Ocean,Medium,Coastal (Natural),Unknown,Unknown,56.25,10.35
Grenaa Havn, ,Denmark,Kattegat; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Small,56.416667,10.933333
Randers, ,Denmark,Kattegat; North Atlantic Ocean,Small,River (Natural),Unknown,Small,56.466667,10.05
Mariager, ,Denmark,Kattegat; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Small,56.65,9.983333
Hobro, ,Denmark,Kattegat; North Atlantic Ocean,Very Small,River (Natural),Unknown,Small,56.633333,9.8
Hals, ,Denmark,Kattegat; North Atlantic Ocean,Very Small,River (Natural),Unknown,Small,56.983333,10.316667
Alborg,Mou,Denmark,Kattegat; North Atlantic Ocean,Small,River (Natural),Unknown,Small,57.05,9.933333
